a	ˈeɪ
indiana	ˌɪndiːˈænə
indianapolis	ˌɪndiənˈæpəlˌɪs
indians	ˈɪndiənz
indicate	ˈɪndᵻkˌeɪt
indicated	ˈɪndᵻkˌeɪɾᵻd
indicates	ˈɪndᵻkˌeɪts
indicating	ˈɪndᵻkˌeɪɾɪŋ
indicator	ˈɪndᵻkˌeɪɾɚ
indicators	ˈɪndᵻkˌeɪɾɚz
indie	ˈɪndi
indigenous	ɪndˈɪdʒənəs
indirect	ˌɪndɚɹˈɛkt
individual	ˌɪndᵻvˈɪdʒuːəl
individually	ˌɪndᵻvˈɪdʒuːəli
individuals	ˌɪndᵻvˈɪdʒuːəlz
indonesia	ɪndoʊnˈiːʒə
indoor	ˈɪndɔːɹ
induced	ɪndˈuːst
industrial	ɪndˈʌstɹɪəl
industries	ˈɪndʌstɹiz
industry	ˈɪndʌstɹi
infant	ˈɪnfənt
infected	ɪnfˈɛktᵻd
infection	ɪnfˈɛkʃən
infections	ɪnfˈɛkʃənz
inflation	ɪnflˈeɪʃən
influence	ˈɪnfluːəns
info	ˈɪnfoʊ
inform	ɪnfˈɔːɹm
informal	ɪnfˈɔːɹməl
information	ˌɪnfɚmˈeɪʃən
informational	ˌɪnfɚmˈeɪʃənəl
informed	ɪnfˈɔːɹmd
infrared	ˌɪnfɹɚɹˈɛd
infrastructure	ˈɪnfɹəstɹˌʌktʃɚ
ing	ˈɪŋ
ingredients	ɪŋɡɹˈiːdiənts
initial	ɪnˈɪʃəl
initially	ɪnˈɪʃəli
initiated	ɪnˈɪʃɪˌeɪɾᵻd
initiative	ɪnˈɪʃiətˌɪv
initiatives	ɪnˈɪʃiətˌɪvz
injection	ɪndʒˈɛkʃən
injured	ˈɪndʒɚd
injuries	ˈɪndʒɚɹiz
injury	ˈɪndʒɚɹi
ink	ˈɪŋk
inkjet	ɪŋkdʒˈɛt
inline	ˈɪnlaɪn
inn	ˈɪn
inner	ˈɪnɚ
innocent	ˈɪnəsənt
innovation	ˌɪnəvˈeɪʃən
innovative	ˈɪnəvˌeɪɾɪv
inns	ˈɪnz
input	ˈɪnpʊt
inputs	ˈɪnpʊts
inquiries	ˈɪŋkwɚɹiz
inquiry	ˈɪŋkwɚɹi
ins	ˈɪnz
insert	ˈɪnsɜːt
inside	ɪnsˈaɪd
insider	ɪnsˈaɪdɚ
insight	ˈɪnsaɪt
insights	ˈɪnsaɪts
inspection	ɪnspˈɛkʃən
inspector	ɪnspˈɛktɚ
inspiration	ˌɪnspɚɹˈeɪʃən
inspired	ɪnspˈaɪɚd
install	ɪnstˈɔːl
installation	ˌɪnstəlˈeɪʃən
installed	ɪnstˈɔːld
installing	ɪnstˈɔːlɪŋ
instance	ˈɪnstəns
instances	ˈɪnstənsᵻz
instant	ˈɪnstənt
instantly	ˈɪnstəntli
instead	ɪnstˈɛd
institute	ˈɪnstɪtˌuːt
institution	ˌɪnstɪtˈuːʃən
institutional	ˌɪnstɪtˈuːʃənəl
institutions	ˌɪnstɪtˈuːʃənz
instruction	ɪnstɹˈʌkʃən
instructional	ɪnstɹˈʌkʃənəl
instructions	ɪnstɹˈʌkʃənz
instructor	ɪnstɹˈʌktɚ
instrument	ˈɪnstɹəmənt
instruments	ˈɪnstɹəmənts
insurance	ɪnʃˈʊɹɹəns
int	ˈɪnt
intake	ˈɪnteɪk
integer	ˈɪntɪdʒɚ
integral	ˈɪntᵻɡɹəl
integrate	ˈɪntᵻɡɹˌeɪt
integrated	ˈɪntᵻɡɹˌeɪɾᵻd
integration	ˌɪntᵻɡɹˈeɪʃən
integrity	ɪntˈɛɡɹᵻɾi
intel	ˈɪntɛl
intellectual	ˌɪntəlˈɛktʃuːəl
intelligence	ɪntˈɛlɪdʒəns
intelligent	ɪntˈɛlɪdʒənt
intended	ɪntˈɛndᵻd
intense	ɪntˈɛns
intensity	ɪntˈɛnsᵻɾi
intensive	ɪntˈɛnsɪv
intent	ɪntˈɛnt
intention	ɪntˈɛnʃən
inter	ɪntˈɜː
interact	ˌɪntɚɹˈækt
interaction	ˌɪntɚɹˈækʃən
interactions	ˌɪntɚɹˈækʃənz
interactive	ˌɪntɚɹˈæktɪv
interest	ˈɪntɹɛst
interested	ˈɪntɹɛstᵻd
interesting	ˈɪntɹɛstɪŋ
interests	ˈɪntɹɛsts
interface	ˈɪntɚfˌeɪs
interfaces	ˈɪntɚfˌeɪsᵻz
interim	ˈɪntɚɹˌɪm
interior	ɪntˈɪɹiɚ
intermediate	ˌɪntɚmˈiːdiət
internal	ɪntˈɜːnəl
international	ˌɪntɚnˈæʃənəl
internet	ˈɪntɚnˌɛt
interpretation	ɪntˌɜːpɹɪtˈeɪʃən
interracial	ˌɪntɚɹˈeɪʃəl
interval	ˈɪntɚvəl
intervention	ˌɪntɚvˈɛnʃən
interview	ˈɪntɚvjˌuː
interviews	ˈɪntɚvjˌuːz
into	ˌɪntʊ
intro	ˈɪntɹoʊ
introduce	ˌɪntɹədˈuːs
introduced	ˌɪntɹədˈuːst
introducing	ˌɪntɹədˈuːsɪŋ
introduction	ˌɪntɹədˈʌkʃən
invalid	ɪnvˈælɪd
invasion	ɪnvˈeɪʒən
invention	ɪnvˈɛnʃən
inventory	ˈɪnvəntˌɔːɹi
invest	ɪnvˈɛst
investigate	ɪnvˈɛstᵻɡˌeɪt
investigation	ɪnvˌɛstɪɡˈeɪʃən
investigations	ɪnvˌɛstɪɡˈeɪʃənz
investing	ɪnvˈɛstɪŋ
investment	ɪnvˈɛstmənt
investments	ɪnvˈɛstmənts
investor	ɪnvˈɛstɚ
investors	ɪnvˈɛstɚz
invitation	ɪnvɪtˈeɪʃən
invite	ɪnvˈaɪt
invited	ɪnvˈaɪɾᵻd
invoice	ˈɪnvɔɪs
involve	ɪnvˈɑːlv
involved	ɪnvˈɑːlvd
involvement	ɪnvˈɑːlvmənt
involves	ɪnvˈɑːlvz
involving	ɪnvˈɑːlvɪŋ
ion	ˈaɪɑːn
iowa	ˈaɪəwə
ip	ˌaɪpˈiː
ipaq	ˈɪpæk
ipod	ˈaɪpɑːd
ir	ˈɜː
iran	ɪɹˈæn
iraq	ɪɹˈæk
iraqi	ɪɹˈæki
irc	ˌaɪˌɑːɹsˈiː
ireland	ˈaɪɚlənd
irish	ˈaɪɹɪʃ
iron	ˈaɪɚn
is	ɪz
isbn	ˌaɪˌɛsbˌiːˈɛn
islam	ɪslˈɑːm
islamic	ɪslˈɑːmɪk
island	ˈaɪlənd
islands	ˈaɪləndz
isle	ˈaɪəl
iso	ˈaɪzoʊ
isolated	ˈaɪsəlˌeɪɾᵻd
isp	ˌaɪˌɛspˈiː
israel	ˈɪzɹiːəl
israeli	ɪzɹˈeɪli
issue	ˈɪʃuː
issued	ˈɪʃuːd
issues	ˈɪʃuːz
ist	ˈɪst
it	ɪt
italian	ɪtˈæliən
italy	ˈɪɾəli
item	ˈaɪɾəm
items	ˈaɪɾəmz
its	ɪts
itself	ɪtsˈɛlf
itunes	ˈɪtuːnz
iv	ɹˌoʊmən fˈɔːɹ
ivory	ˈaɪvɚɹi
ix	ɹˌoʊmən nˈaɪn
j	dʒˈeɪ
ja	jˈɑː
jack	dʒˈæk
jacket	dʒˈækɪt
jackets	dʒˈækɪts
jackson	dʒˈæksən
jacksonville	dʒˈæksənvˌɪl
jacob	dʒˈeɪkəb
jail	dʒˈeɪl
jam	dʒˈæm
jamaica	dʒɐmˈeɪkə
james	dʒˈeɪmz
jamie	dʒˈeɪmi
jan	dʒˈæn
jane	dʒˈeɪn
janet	dʒˈænɪt
january	dʒˈænjuːˌɛɹi
japan	dʒəpˈæn
japanese	dʒˌæpənˈiːz
jason	dʒˈeɪsən
java	dʒˈɑːvə
javascript	dʒˈɑːvɐskɹˌɪpt
jay	dʒˈeɪ
jazz	dʒˈæz
jc	dʒˌeɪsˈiː
jd	dʒˌeɪdˈiː
je	dʒˈiː
jean	dʒˈiːn
jeans	dʒˈiːnz
jeep	dʒˈiːp
jeff	dʒˈɛf
jefferson	dʒˈɛfɚsən
jeffrey	dʒˈɛfɹi
jelsoft	dʒˈɛlsɔft
jennifer	dʒˈɛnɪfɚ
jeremy	dʒˈɛɹəmi
jerry	dʒˈɛɹi
jersey	dʒˈɜːsi
jerusalem	dʒɚɹˈuːsələm
jessica	dʒˈɛsɪkə
jesus	dʒˈiːzəs
jet	dʒˈɛt
jewellery	dʒˈuːəlɹi
jewelry	dʒˈuːəlɹi
jewish	dʒˈuːɪʃ
jews	dʒˈuːz
jim	dʒˈɪm
jimmy	dʒˈɪmi
jm	dʒˌeɪˈɛm
jo	dʒˈoʊ
joan	dʒˈoʊn
job	dʒˈɑːb
jobs	dʒˈɑːbz
joe	dʒˈoʊ
joel	dʒˈoʊl
john	dʒˈɑːn
johnny	dʒˈɑːni
johnson	dʒˈɑːnsən
join	dʒˈɔɪn
joined	dʒˈɔɪnd
joining	dʒˈɔɪnɪŋ
joint	dʒˈɔɪnt
joke	dʒˈoʊk
jokes	dʒˈoʊks
jon	dʒˈɑːn
jonathan	dʒˈɑːnəθən
jones	dʒˈoʊnz
jordan	dʒˈɔːɹdən
jose	hoʊsˈeɪ
joseph	dʒˈoʊsəf
josh	dʒˈɑːʃ
journal	dʒˈɜːnəl
journalism	dʒˈɜːnəlˌɪzəm
journalists	dʒˈɜːnəlˌɪsts
journals	dʒˈɜːnəlz
journey	dʒˈɜːni
joy	dʒˈɔɪ
jp	dʒˌeɪpˈiː
jpeg	dʒˈeɪpˈɛɡ
jpg	dʒˌeɪpˌiːdʒˈiː
jr	dʒˌeɪˈɑːɹ
juan	hwˈɑːn
judge	dʒˈʌdʒ
judges	dʒˈʌdʒᵻz
judgment	dʒˈʌdʒmənt
judicial	dʒuːdˈɪʃəl
judy	dʒˈuːdi
juice	dʒˈuːs
jul	dʒˈʌl
julia	dʒˈuːliə
julie	dʒˈuːli
july	dʒuːlˈaɪ
jump	dʒˈʌmp
jun	dʒˈʌn
junction	dʒˈʌŋkʃən
june	dʒˈuːn
jungle	dʒˈʌŋɡəl
junior	dʒˈuːnjɚ
jurisdiction	dʒˌʊɹɹɪsdˈɪkʃən
jury	dʒˈʊɹɹi
just	dʒˈʌst
justice	dʒˈʌstɪs
justin	dʒˈʌstɪn
juvenile	dʒˈuːvənˌaɪl
jvc	dʒˌeɪvˌiːsˈiː
k	kˈeɪ
kansas	kˈænzəs
karaoke	kˌæɹɪˈoʊki
karen	kˈæɹən
karl	kˈɑːɹl
kate	kˈeɪt
katie	kˈeɪɾi
katrina	kɐtɹˈiːnə
kay	kˈeɪ
kb	kˌeɪbˈiː
kde	kˌeɪdˌiːˈiː
keep	kˈiːp
keeping	kˈiːpɪŋ
keeps	kˈiːps
keith	kˈiːθ
kelkoo	kˈɛlkuː
kelly	kˈɛli
ken	kˈɛn
kennedy	kˈɛnədi
kenneth	kˈɛnəθ
kent	kˈɛnt
kentucky	kɛntˈʌki
kenya	kˈɛnjə
kept	kˈɛpt
kernel	kˈɜːnəl
kerry	kˈɛɹi
kevin	kˈɛvɪn
key	kˈiː
keyboard	kˈiːbɔːɹd
keyboards	kˈiːbɔːɹdz
keys	kˈiːz
keyword	kˈiːwɜːd
keywords	kˈiːwɜːdz
kg	kˌeɪdʒˈiː
kick	kˈɪk
kid	kˈɪd
kidney	kˈɪdni
kids	kˈɪdz
kijiji	kˈɪdʒɪdʒi
kill	kˈɪl
killed	kˈɪld
killer	kˈɪlɚ
killing	kˈɪlɪŋ
kim	kˈɪm
kind	kˈaɪnd
kinds	kˈaɪndz
king	kˈɪŋ
kingdom	kˈɪŋdəm
kings	kˈɪŋz
kingston	kˈɪŋstən
kiss	kˈɪs
kissing	kˈɪsɪŋ
kit	kˈɪt
kitchen	kˈɪtʃən
kits	kˈɪts
klein	klˈaɪn
km	kˌeɪˈɛm
knee	nˈiː
knew	nˈuː
knife	nˈaɪf
knight	nˈaɪt
knives	nˈaɪvz
know	nˈoʊ
knowing	nˈoʊɪŋ
knowledge	nˈɑːlɪdʒ
known	nˈoʊn
knows	nˈoʊz
kodak	kˈoʊdæk
kong	kˈɑːŋ
korea	kɚɹˈiːə
korean	kɚɹˈiːən
ks	kˌeɪˈɛs
kuwait	kuːwˈeɪt
ky	kˈaɪ
l	ˈɛl
la	lˌæ
lab	lˈæb
label	lˈeɪbəl
labels	lˈeɪbəlz
labor	lˈeɪbɚ
laboratories	lˈæbɹətˌɔːɹiz
laboratory	lˈæbɹətˌɔːɹi
labs	lˈæbz
lace	lˈeɪs
lack	lˈæk
ladies	lˈeɪdiz
lady	lˈeɪdi
laid	lˈeɪd
lake	lˈeɪk
lakes	lˈeɪks
lambda	lˈæmdə
lamp	lˈæmp
lamps	lˈæmps
lan	lˈæn
lancaster	lˈæŋkæstɚ
land	lˈænd
landing	lˈændɪŋ
lands	lˈændz
landscape	lˈændskeɪp
lane	lˈeɪn
lang	lˈæŋ
language	lˈæŋɡwɪdʒ
languages	lˈæŋɡwɪdʒᵻz
lanka	lˈæŋkə
laptop	lˈæptɑːp
laptops	lˈæptɑːps
large	lˈɑːɹdʒ
largely	lˈɑːɹdʒli
larger	lˈɑːɹdʒɚ
largest	lˈɑːɹdʒɪst
larry	lˈæɹi
las	lˌɑːs
laser	lˈeɪzɚ
last	lˈæst
lat	lˈæt
late	lˈeɪt
later	lˈeɪɾɚ
latest	lˈeɪɾɪst
latex	lˈeɪtɛks
latin	lˈætɪn
latina	lætˈiːnə
latinas	lætˈiːnəz
latino	lætˈiːnoʊ
latitude	lˈæɾɪtˌuːd
latter	lˈæɾɚ
latvia	lˈætviə
laugh	lˈæf
launch	lˈɑːntʃ
launched	lˈɑːntʃt
launches	lˈɔːntʃᵻz
laundry	lˈɔːndɹi
laura	lˈɔːɹə
lauren	lˈɔːɹən
law	lˈɔː
lawn	lˈɔːn
lawrence	lˈɔːɹəns
laws	lˈɔːz
lawyer	lˈɔɪɚ
lawyers	lˈɔɪɚz
lay	lˈeɪ
layer	lˈeɪɚ
layers	lˈeɪɚz
layout	lˈeɪaʊt
lb	ˌɛlbˈiː
lbs	pˈaʊndz
lc	ˌɛlsˈiː
lcd	ˌɛlsˌiːdˈiː
ld	ˌɛldˈiː
le	lə
lead	lˈiːd
leader	lˈiːdɚ
leaders	lˈiːdɚz
leadership	lˈiːdɚʃˌɪp
leading	lˈiːdɪŋ
leads	lˈiːdz
leaf	lˈiːf
league	lˈiːɡ
learn	lˈɜːn
learned	lˈɜːnd
learning	lˈɜːnɪŋ
lease	lˈiːs
leasing	lˈiːsɪŋ
least	lˈiːst
leather	lˈɛðɚ
leave	lˈiːv
leaves	lˈiːvz
leaving	lˈiːvɪŋ
lebanon	lˈɛbənˌɑːn
lecture	lˈɛktʃɚ
lectures	lˈɛktʃɚz
led	lˈɛd
lee	lˈiː
leeds	lˈiːdz
left	lˈɛft
leg	lˈɛɡ
legacy	lˈɛɡəsi
legal	lˈiːɡəl
legend	lˈɛdʒənd
legends	lˈɛdʒəndz
legislation	lˌɛdʒɪslˈeɪʃən
legislative	lˈɛdʒɪslətˌɪv
legislature	lˈɛdʒɪslətʃɚ
legs	lˈɛɡz
leisure	lˈiːʒɚ
lemon	lˈɛmən
lenders	lˈɛndɚz
lending	lˈɛndɪŋ
length	lˈɛŋθ
lens	lˈɛnz
lenses	lˈɛnzᵻz
leo	lˈiːoʊ
leonard	lˈɛnɚd
les	lˈɛs
lesbian	lˈɛsbiən
lesbians	lˈɛsbiənz
less	lˈɛs
lesson	lˈɛsən
lessons	lˈɛsənz
let	lˈɛt
lets	lˈɛts
letter	lˈɛɾɚ
letters	lˈɛɾɚz
letting	lˈɛɾɪŋ
level	lˈɛvəl
levels	lˈɛvəlz
levitra	lˈɛvɪtɹə
lewis	lˈuːɪs
lexmark	lˈɛksmɑːɹk
lg	ˌɛldʒˈiː
li	lˈaɪ
liabilities	lˌaɪəbˈɪlᵻɾiz
liability	lˌaɪəbˈɪlᵻɾi
liable	lˈaɪəbəl
lib	lˈɪb
liberal	lˈɪbɚɹəl
liberty	lˈɪbɚɾi
libraries	lˈaɪbɹɛɹiz
library	lˈaɪbɹɛɹi
licence	lˈaɪsəns
license	lˈaɪsəns
licensed	lˈaɪsənst
licenses	lˈaɪsənsᵻz
licensing	lˈaɪsənsɪŋ
lie	lˈaɪ
lies	lˈaɪz
life	lˈaɪf
lifestyle	lˈaɪfstaɪl
lifetime	lˈaɪftaɪm
lift	lˈɪft
light	lˈaɪt
lighting	lˈaɪɾɪŋ
lightning	lˈaɪtnɪŋ
lights	lˈaɪts
lightweight	lˈaɪtweɪt
like	lˈaɪk
liked	lˈaɪkt
likely	lˈaɪkli
likes	lˈaɪks
lil	lˈɪl
limit	lˈɪmɪt
limitation	lˌɪmɪtˈeɪʃən
limitations	lˌɪmɪtˈeɪʃənz
limited	lˈɪmɪɾᵻd
limits	lˈɪmɪts
limousines	lˈɪməzˌiːnz
lincoln	lˈɪŋkən
linda	lˈɪndə
line	lˈaɪn
linear	lˈɪnɪɹ
lines	lˈaɪnz
lingerie	lˌɑːnʒɚɹˈeɪ
link	lˈɪŋk
linked	lˈɪŋkt
linking	lˈɪŋkɪŋ
links	lˈɪŋks
linux	lˈɪnʌks
lion	lˈaɪən
lip	lˈɪp
lips	lˈɪps
liquid	lˈɪkwɪd
lisa	lˈiːsə
list	lˈɪst
listed	lˈɪstᵻd
listen	lˈɪsən
listening	lˈɪsənɪŋ
listing	lˈɪstɪŋ
listings	lˈɪstɪŋz
lists	lˈɪsts
lite	lˈaɪt
literacy	lˈɪɾɚɹəsi
literally	lˈɪɾɚɹəli
literary	lˈɪɾɚɹˌɛɹi
literature	lˈɪɾɚɹᵻtʃɚ
lithuania	lˌɪθjuːˈeɪniə
litigation	lˌɪɾɪɡˈeɪʃən
little	lˈɪɾəl
live	lˈaɪv
livecam	lˈaɪvkæm
lived	lˈɪvd
liver	lˈɪvɚ
liverpool	lˈɪvɚpˌuːl
lives	lˈaɪvz
livesex	lˈaɪvsɛks
living	lˈɪvɪŋ
ll	ˌɛlˈɛl
llc	ˌɛlˌɛlsˈiː
lloyd	lˈɔɪd
ln	ˌɛlˈɛn
lo	lˈoʊ
load	lˈoʊd
loaded	lˈoʊdᵻd
loading	lˈoʊdɪŋ
loads	lˈoʊdz
loan	lˈoʊn
loans	lˈoʊnz
loc	lˈɑːk
local	lˈoʊkəl
locale	loʊkˈæl
locally	lˈoʊkəli
locate	loʊkˈeɪt
located	loʊkˈeɪɾᵻd
location	loʊkˈeɪʃən
locations	loʊkˈeɪʃənz
locator	loʊkˈeɪɾɚ
lock	lˈɑːk
locked	lˈɑːkt
lodge	lˈɑːdʒ
lodging	lˈɑːdʒɪŋ
log	lˈɔɡ
logged	lˈɔɡd
logging	lˈɔɡɪŋ
logic	lˈɑːdʒɪk
logical	lˈɑːdʒɪkəl
login	lˈɑːɡɪn
logistics	lədʒˈɪstɪks
logo	lˈoʊɡoʊ
logos	lˈoʊɡoʊz
logs	lˈɔɡz
lol	lˈɑːl
london	lˈʌndən
lonely	lˈoʊnli
long	lˈɔŋ
longer	lˈɔŋɡɚ
look	lˈʊk
looked	lˈʊkt
looking	lˈʊkɪŋ
looks	lˈʊks
lookup	lˈʊkʌp
loop	lˈuːp
loose	lˈuːs
lopez	lˈoʊpɛz
lord	lˈɔːɹd
los	lˌɑːs
lose	lˈuːz
losing	lˈuːzɪŋ
loss	lˈɔs
losses	lˈɔsᵻz
lost	lˈɔst
lot	lˈɑːt
lots	lˈɑːts
lottery	lˈɑːɾɚɹi
lotus	lˈoʊɾəs
loud	lˈaʊd
louis	lˈuːi
louisiana	luːˌiːzɪˈænə
louisville	lˈuːizvˌɪl
lounge	lˈaʊndʒ
love	lˈʌv
loved	lˈʌvd
lovely	lˈʌvli
lover	lˈʌvɚ
lovers	lˈʌvɚz
loves	lˈʌvz
loving	lˈʌvɪŋ
low	lˈoʊ
lower	lˈoʊɚ
lowest	lˈoʊɪst
lp	ˌɛlpˈiː
ls	ˌɛlˈɛs
lt	ˌɛltˈiː
ltd	lˈɪmɪɾᵻd
luck	lˈʌk
lucky	lˈʌki
luggage	lˈʌɡɪdʒ
luke	lˈuːk
lunch	lˈʌntʃ
lung	lˈʌŋ
luxembourg	lˈʌksəmbˌɜːɡ
luxury	lˈʌkʃɚɹi
lycos	lˈaɪkoʊz
lying	lˈaɪɪŋ
lynn	lˈɪn
lyrics	lˈɪɹɪks
m	ˈɛm
ma	mˈɑː
mac	mˈæk
machine	məʃˈiːn
machinery	məʃˈiːnɚɹi
machines	məʃˈiːnz
macintosh	mˈækɪntˌɑːʃ
macro	mˈækɹoʊ
macromedia	mˌækɹəmˈiːdiə
mad	mˈæd
made	mˈeɪd
madison	mˈædɪsən
madonna	mɐdˈɑːnə
madrid	mədɹˈɪd
mag	mˈæɡ
magazine	mˌæɡɐzˈiːn
magazines	mˌæɡɐzˈiːnz
magic	mˈædʒɪk
magnetic	mæɡnˈɛɾɪk
mail	mˈeɪl
mailed	mˈeɪld
mailing	mˈeɪlɪŋ
main	mˈeɪn
maine	mˈeɪn
mainland	mˈeɪnlənd
mainly	mˈeɪnli
mainstream	mˈeɪnstɹiːm
maintain	meɪntˈeɪn
maintained	meɪntˈeɪnd
maintaining	meɪntˈeɪnɪŋ
maintenance	mˈeɪntənəns
major	mˈeɪdʒɚ
majority	mədʒˈɔːɹᵻɾi
make	mˈeɪk
maker	mˈeɪkɚ
makers	mˈeɪkɚz
makes	mˈeɪks
making	mˈeɪkɪŋ
malaysia	məlˈeɪʒə
male	mˈeɪl
males	mˈeɪlz
mall	mˈɔːl
malta	mˈɔltə
man	mˈæn
manage	mˈænɪdʒ
managed	mˈænɪdʒd
management	mˈænɪdʒmənt
manager	mˈænɪdʒɚ
managers	mˈænɪdʒɚz
managing	mˈænɪdʒɪŋ
manchester	mˈæntʃɛstɚ
mandatory	mˈændətˌɔːɹi
manga	mˈæŋɡə
manhattan	mænhˈæʔn̩
manitoba	mˌænɪtˈoʊbə
manner	mˈænɚ
manor	mˈænɚ
manual	mˈænjuːəl
manuals	mˈænjuːəlz
manufacture	mˌænjuːfˈæktʃɚ
manufactured	mˌænjuːfˈæktʃɚd
manufacturer	mˌænjuːfˈæktʃɚɹɚ
manufacturers	mˌænjuːfˈæktʃɚɹɚz
manufacturing	mˌænjuːfˈæktʃɚɹɪŋ
many	mˈɛni
map	mˈæp
maple	mˈeɪpəl
mapping	mˈæpɪŋ
maps	mˈæps
mar	mˈɑːɹ
marc	mˈɑːɹk
march	mˈɑːɹtʃ
margaret	mˈɑːɹɡɹət
margin	mˈɑːɹdʒɪn
maria	mɚɹˈiːə
marie	mɚɹˈiː
marina	mɚɹˈiːnə
marine	mɚɹˈiːn
mario	mˈɑːɹɹɪˌoʊ
maritime	mˈæɹɪtˌaɪm
mark	mˈɑːɹk
marked	mˈɑːɹkt
marker	mˈɑːɹkɚ
market	mˈɑːɹkɪt
marketing	mˈɑːɹkɪɾɪŋ
marketplace	mˈɑːɹkɪtplˌeɪs
markets	mˈɑːɹkɪts
marks	mˈɑːɹks
marriage	mˈæɹɪdʒ
married	mˈæɹid
marriott	mˈæɹɪət
mars	mˈɑːɹz
marshall	mˈɑːɹʃəl
mart	mˈɑːɹt
martha	mˈɑːɹθə
martial	mˈɑːɹʃəl
martin	mˈɑːɹtɪn
mary	mˈɛɹi
maryland	mˈɛɹɪlˌænd
mask	mˈæsk
mason	mˈeɪsən
mass	mˈæs
massachusetts	mˌæsɐtʃˈuːsɪts
massage	mɐsˈɑːʒ
massive	mˈæsɪv
master	mˈæstɚ
mastercard	mˈæstɚkˌɑːɹd
masters	mˈæstɚz
masturbating	mˈæstɚbˌeɪɾɪŋ
mat	mˈæt
match	mˈætʃ
matches	mˈætʃᵻz
matching	mˈætʃɪŋ
mate	mˈeɪt
material	mətˈɪɹiəl
materials	mətˈɪɹiəlz
maternity	mətˈɜːnᵻɾi
math	mˈæθ
mathematical	mˌæθɪmˈæɾɪkəl
mathematics	mˌæθɪmˈæɾɪks
matrix	mˈeɪtɹɪks
matt	mˈæt
matter	mˈæɾɚ
matters	mˈæɾɚz
matthew	mˈæθjuː
mature	mətʃˈʊɹ
max	mˈæks
maximum	mˈæksɪməm
may	mˈeɪ
maybe	mˈeɪbiː
mayor	mˈeɪɚ
mazda	mˈæzdə
mb	ˌɛmbˈiː
mba	ˌɛmbˌiːˈeɪ
mc	ˌɛmsˈiː
mcdonald	məkdˈɑːnəld
md	ˌɛmdˈiː
me	mˈiː
meal	mˈiːl
meals	mˈiːlz
mean	mˈiːn
meaning	mˈiːnɪŋ
means	mˈiːnz
meant	mˈɛnt
meanwhile	mˈiːnwaɪl
measure	mˈɛʒɚ
measured	mˈɛʒɚd
measurement	mˈɛʒɚmənt
measurements	mˈɛʒɚmənts
measures	mˈɛʒɚz
measuring	mˈɛʒɚɹɪŋ
meat	mˈiːt
mechanical	mᵻkˈænɪkəl
mechanics	mᵻkˈænɪks
mechanism	mˈɛkənˌɪzəm
mechanisms	mˈɛkənˌɪzəmz
med	mˈɛd
medal	mˈɛdəl
media	mˈiːdiːə
median	mˈiːdiːən
medicaid	mˈɛdɪkˌeɪd
medical	mˈɛdɪkəl
medicare	mˈɛdɪkˌɛɹ
medication	mˌɛdɪkˈeɪʃən
medications	mˌɛdɪkˈeɪʃənz
medicine	mˈɛdəsən
medieval	mˈɛdɪˌiːvəl
medium	mˈiːdiəm
medline	mˈɛdlaɪn
meet	mˈiːt
meeting	mˈiːɾɪŋ
meetings	mˈiːɾɪŋz
meets	mˈiːts
meetup	mˈiːɾʌp
mega	mˈɛɡə
melbourne	mˈɛlbɚn
melissa	məlˈɪsə
mem	mˈɛm
member	mˈɛmbɚ
members	mˈɛmbɚz
membership	mˈɛmbɚʃˌɪp
membrane	mˈɛmbɹeɪn
memorabilia	mˌɛmɚɹɐbˈɪliə
memorial	məmˈɔːɹɪəl
memories	mˈɛmɚɹiz
memory	mˈɛmɚɹi
memphis	mˈɛmfɪs
men	mˈɛn
mens	mˈɛnz
ment	mˈɛnt
mental	mˈɛntəl
mention	mˈɛnʃən
mentioned	mˈɛnʃənd
menu	mˈɛnjuː
menus	mˈɛnjuːz
mercedes	mɜːsˈeɪdiːz
merchandise	mˈɜːtʃɐndˌaɪz
merchant	mˈɜːtʃənt
merchants	mˈɜːtʃənts
mercury	mˈɜːkjʊɹi
mere	mˈɪɹ
merely	mˈɪɹli
mesh	mˈɛʃ
message	mˈɛsɪdʒ
messages	mˈɛsɪdʒᵻz
messaging	mˈɛsɪdʒɪŋ
messenger	mˈɛsɪndʒɚ
met	mˈɛt
meta	mˈɛɾə
metabolism	mətˈæbəlˌɪzəm
metal	mˈɛɾəl
metals	mˈɛɾəlz
meter	mˈiːɾɚ
meters	mˈiːɾɚz
method	mˈɛθəd
methodology	mˌɛθədˈɑːlədʒi
methods	mˈɛθədz
metric	mˈɛtɹɪk
metro	mˈɛtɹoʊ
metropolitan	mˌɛtɹəpˈɑːlɪtən
mexican	mˈɛksɪkən
mexico	mˈɛksɪkˌoʊ
mf	ˌɛmˈɛf
mg	ˌɛmdʒˈiː
mhz	mˈɛɡəhˌɜːts
mi	mˈaɪ
miami	maɪˈæmi
mice	mˈaɪs
michael	mˈaɪkəl
michelle	mɪʃˈɛl
michigan	mˈɪʃɪɡən
micro	mˈaɪkɹoʊ
microsoft	mˈaɪkɹəsˌɑːft
microwave	mˈaɪkɹoʊwˌeɪv
mid	mˈɪd
middle	mˈɪdəl
midi	mˈɪdi
midlands	mˈɪdləndz
midnight	mˈɪdnaɪt
midwest	mɪdwˈɛst
might	mˈaɪt
mighty	mˈaɪɾi
migration	maɪɡɹˈeɪʃən
mike	mˈaɪk
mile	mˈaɪl
miles	mˈaɪlz
